epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,1634.17,1.5659,1.05656,0.90879,0.44863,0.70605,0.55118,0.24034,1.73793,1.12382,0.98065,0.007624,0.007624,0.007624
74,1656.09,1.53676,1.0383,0.91226,0.40348,0.66497,0.50827,0.23206,1.72674,1.11119,0.98047,0.007591,0.007591,0.007591
75,1678.41,1.55973,1.0509,0.91292,0.44411,0.66245,0.53955,0.25786,1.66722,1.11672,0.96427,0.007558,0.007558,0.007558
76,1700.86,1.51134,1.01742,0.90677,0.46426,0.66245,0.56641,0.25437,1.70434,1.09735,0.97664,0.007525,0.007525,0.007525
77,1723.12,1.47872,1.01497,0.90169,0.44874,0.72714,0.54993,0.25743,1.66547,1.09637,0.97581,0.007492,0.007492,0.007492
78,1745.58,1.49878,1.01842,0.90311,0.49439,0.65682,0.58248,0.27136,1.69649,1.07894,0.98028,0.007459,0.007459,0.007459
79,1767.62,1.50715,1.01841,0.90774,0.43799,0.68917,0.52988,0.24609,1.6424,1.143,0.96954,0.007426,0.007426,0.007426
80,1790.42,1.4918,1.0017,0.9026,0.42728,0.64557,0.5129,0.24824,1.67684,1.16647,0.96976,0.007393,0.007393,0.007393
81,1812.77,1.47362,0.99529,0.90353,0.47813,0.65203,0.56252,0.27355,1.67241,1.07293,0.97005,0.00736,0.00736,0.00736
82,1835.52,1.43448,0.96255,0.89221,0.45533,0.65541,0.54342,0.26701,1.6045,1.10219,0.95362,0.007327,0.007327,0.007327
83,1857.99,1.45201,0.96824,0.89975,0.45932,0.64282,0.54267,0.2486,1.68028,1.11506,0.97874,0.007294,0.007294,0.007294
84,1880.47,1.46023,0.97853,0.9005,0.44054,0.68214,0.54836,0.25496,1.69468,1.10697,0.97179,0.007261,0.007261,0.007261
85,1903.25,1.44332,0.97604,0.8936,0.46402,0.69339,0.57734,0.26448,1.6559,1.05911,0.95887,0.007228,0.007228,0.007228
86,1925.87,1.46544,0.97705,0.88934,0.46612,0.6512,0.55049,0.26807,1.59608,1.06556,0.95649,0.007195,0.007195,0.007195
87,1948.26,1.43842,0.95242,0.89422,0.48214,0.59212,0.57061,0.26511,1.65998,1.05541,0.97332,0.007162,0.007162,0.007162
88,1971.08,1.45334,0.98137,0.89994,0.4902,0.6737,0.60661,0.29054,1.61108,1.04426,0.95859,0.007129,0.007129,0.007129
